00:1c:25:14:14:9d 	 2015-02-15 10:02:13 
00:1c:25:14:14:9d 	 2015-02-15 10:03:46 
00:1c:25:14:14:9d 	 2015-02-15 10:11:27 
00:1c:25:14:14:9d 	 2015-02-15 10:18:14 
8c:00:6d:7a:f0:bd 	 2015-02-15 10:25:21 
00:1c:25:14:14:9d 	 2015-02-15 10:30:05 	 
00:1c:25:14:14:9d 	 2015-02-15 10:33:06 	 00:1c:25:14:14:9d 
8c:00:6d:7a:f0:bd 	 2015-02-15 10:33:19 	 8c:00:6d:7a:f0:bd 
00:1c:25:14:14:9d 	 2015-02-15 10:36:26 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 10:39:30 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 10:56:47 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 10:56:47 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 10:56:47 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 10:56:47 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 11:01:01 	  
00:1c:25:14:14:9d 	 2015-02-15 11:01:01 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 11:01:01 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 11:01:01 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 11:01:01 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 11:01:01 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 13:26:52 	 pawse 
8c:00:6d:7a:f0:bd 	 2015-02-15 13:33:31 	 stabell 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
20:c9:d0:43:fb:3d 	 2015-02-15 13:48:25 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 13:50:24 	 andersb 
00:1c:25:14:14:9d 	 2015-02-15 14:05:10 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 14:20:10 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 14:20:10 	 pawse 
10:dd:b1:ce:c7:49 	 2015-02-15 14:28:33 	 andersb 
10:dd:b1:ce:c7:49 	 2015-02-15 14:28:33 	 andersb 
8c:00:6d:7a:f0:bd 	 2015-02-15 14:35:49 	 stabell 
8c:00:6d:7a:f0:bd 	 2015-02-15 14:35:49 	 stabell 
a0:a8:cd:3a:ec:51 	 2015-02-15 14:48:27 	 stabell 
a0:a8:cd:3a:ec:51 	 2015-02-15 14:48:27 	 stabell 
68:d9:3c:2c:b2:d1 	 2015-02-15 14:53:06 	 andersb 
68:d9:3c:2c:b2:d1 	 2015-02-15 14:53:06 	 andersb 
00:1c:25:14:14:9d 	 2015-02-15 15:06:06 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 15:06:06 	 pawse 
20:89:84:dd:f5:18 	 2015-02-15 15:12:56 	 holger 
20:c9:d0:43:fb:3d 	 2015-02-15 15:13:25 	 andersb 
20:89:84:dd:f5:18 	 2015-02-15 15:12:56 	 holger 
20:c9:d0:43:fb:3d 	 2015-02-15 15:13:25 	 andersb 
9c:4e:36:d0:c3:84 	 2015-02-15 15:18:50 	 solveig 
9c:4e:36:d0:c3:84 	 2015-02-15 15:18:50 	 solveig 
10:dd:b1:ce:c7:49 	 2015-02-15 15:29:03 	 andersb 
10:dd:b1:ce:c7:49 	 2015-02-15 15:29:03 	 andersb 
8c:00:6d:7a:f0:bd 	 2015-02-15 15:37:08 	 stabell 
8c:00:6d:7a:f0:bd 	 2015-02-15 15:37:08 	 stabell 
10:40:f3:90:16:e8 	 2015-02-15 16:08:31 	 annabirkes 
10:40:f3:90:16:e8 	 2015-02-15 16:08:31 	 annabirkes 
00:1c:25:14:14:9d 	 2015-02-15 16:13:06 	 pawse 
00:1c:25:14:14:9d 	 2015-02-15 16:13:06 	 pawse 
20:89:84:dd:f5:18 	 2015-02-15 16:37:40 	 holger 
20:89:84:dd:f5:18 	 2015-02-15 16:37:40 	 holger 
8c:00:6d:7a:f0:bd 	 2015-02-15 16:46:44 	 stabell 
